chr	start	end	strand	genes	LL_mean	k_mean	n	size
chr7	19530800	19750483	-	"['Ppp1r37' 'Gemin7' 'Clasrp' 'Relb' 'Clptm1' 'Apoc2' 'Gm44805' 'Apoc4'
 'Apoc1' 'Apoe' 'Tomm40' 'Nectin2']"	0.8728026874540147	0.0011933117847363589	12	219683
chr17	25830505	26090337	-	"['Decr2' 'Stub1' 'Rhbdl1' 'Gm20683' 'Rhot2' 'Mcrip2' 'Wfikkn1' 'Rab40c'
 'Pigq' 'Capn15' 'Rab11fip3']"	0.933855478907671	4.68472459709243e-05	11	259832
chr11	75461715	75706908	+	['Tlcd2' 'Prpf8' 'Rilp' 'Scarf1' 'Slc43a2' 'Pitpna' 'Inpp5k' 'Myo1c' 'Crk']	0.9714421973769911	0.0003839603390072347	9	245193
chr8	105170674	105335219	+	['Cbfb' 'D230025D16Rik' 'Fbxl8' 'Hsf4' 'Nol3' 'E2f4' 'Elmo3' 'Tmem208']	0.8422385031335267	0.0007405679759902377	8	164545
chr11	120526855	120633600	-	['Gm11789' 'Mcrip1' 'P4hb' 'Arhgdia' 'Alyref' 'Pcyt2' 'Sirt7' 'Mafg']	0.9573827527522376	0.0006720600107413815	8	106745
chr9	108490602	108572774	+	['Usp19' 'Qars' 'Qrich1' 'Gm38366' 'Impdh2' '4833445I07Rik' 'Dalrd3']	0.9883515785261604	6.368859569857954e-05	7	82172
chr7	45421760	45526268	-	['Ruvbl2' 'Ftl1' 'Bax' 'Gm45808' 'Dhdh' 'Nucb1' 'Ppp1r15a']	0.9271712775066602	0.0005374632684058367	7	104508
chr13	55573732	55776830	+	['Tmed9' 'B4galt7' 'Caml' 'Ddx46' 'B230219D22Rik' 'Txndc15' 'Pcbd2']	0.8992165791180372	9.890264203087779e-05	7	203098
chr2	30237715	30447806	+	['Nup188' 'Miga2' 'Dolpp1' 'Ptpa' 'Lrrc8a' 'Phyhd1' 'Gm28038']	0.9521858659718463	0.0007607032529308472	7	210091
chr2	25490845	25628030	-	['Traf2' 'Mamdc4' 'Rabl6' 'Tmem141' 'Fcna' 'Lcn12' 'C8g']	0.8805360354515245	0.0003624191718752998	7	137185
chr10	79916971	80056439	+	['Kiss1r' 'Arid3a' 'Wdr18' 'Cnn2' 'Abca7' 'Arhgap45' 'Gpx4']	0.715360357778212	8.615214693674246e-06	7	139468
chr11	69656697	69696098	-	['Mpdu1' 'Cd68' 'Eif4a1' 'Senp3' 'Tnfsfm13' 'Tnfsf13' 'Tnfsf12']	0.9277997901224548	0.0003050747441814694	7	39401
chr5	30814641	30955091	+	['Mapre3' 'Tmem214' 'Agbl5' '5930420M18Rik' 'Emilin1' 'Khk' 'Abhd1']	0.9055400674814832	0.0006535070992186868	7	140450
chr9	21062393	21149982	-	['Fdx2' 'Raver1' 'Tyk2' 'Cdc37' 'Zglp1' 'Gm38431']	0.912483989704329	4.568682035515745e-05	6	87589
chr10	78162066	78352489	-	['Agpat3' 'Gatd3a' 'Pwp2' 'Trappc10' 'Gm30122' 'Gm47976']	0.9326589504861689	0.0001386885079639976	6	190423
chr19	6241668	6378030	+	['Atg2a' 'Ehd1' 'Cdc42bpg' 'Men1' 'Map4k2' 'Sf1']	0.9461833655566546	0.00025588691576137	6	136362
chr5	121204481	121444378	+	['Rpl6' 'Hectd4' 'Gm42917' 'Gm42918' 'Naa25' 'Gm43420']	0.8794735585288006	4.545501194137873e-05	6	239897
