chr	start	end	strand	genes	LL_mean	k_mean	n	size	corr
chr5	90518932	90597871	+	['Afm' 'Albfm1']	0.8326877479907531	0.0035434126384703475	2	78939	0.9105402297490066
chr9	44477928	44483803	-	['Gm47204' 'Gm47205']	0.8665468896311802	0.0015892640911181	2	5875	0.9026096261003813
chr1	130634773	130729253	-	['Pfkfb2' 'C4bp' 'Gm29427' 'C4bp-ps1']	0.7996419033698612	0.0021997658208238445	4	94480	0.8990574705727067
chr17	87254443	87282814	-	['Mcfd2' '4833418N02Rik']	0.9105996343941084	0.0023166870733867485	2	28371	0.8976006766529614
chr17	26561489	26792565	+	['Ergic1' 'Atp6v0e' 'Crebrf' 'Bnip1']	0.8962843764749351	0.002291960723601448	4	231076	0.886278013665149
chr11	121204433	121309896	+	['Narf' 'Foxk2' 'Hexdc']	0.9021629283839734	0.002640313743730903	3	105463	0.8726662437273063
chr11	60714123	60811718	-	['Flii' 'Top3a' 'Shmt1']	0.9096414511436115	0.0017658917153253702	3	97595	0.8632975919993422
chr10	19934472	20281590	+	['Map3k5' 'Map7']	0.9068859713819866	0.0011545875834705485	2	347118	0.8472171855388861
chr1	74295603	74310713	+	['Gm37931' 'Gm29358']	0.8800472469932554	0.001469563443462175	2	15110	0.8279910559186672
chrX	150547375	150643878	+	['Alas2' 'Pfkfb1']	0.7697056970799129	0.0016022114970814306	2	96503	0.8119203892376607
chr7	110018274	110095394	+	['Zfp143' 'Ipo7']	0.9318194540540464	0.0017058340644270126	2	77120	0.8098824777574131
chr4	152039321	152120119	+	['Plekhg5' 'Tnfrsf25' 'Nol9']	0.7256450815404029	0.00149685595732296	3	80798	0.8084663489218303
chr16	44139830	44227465	+	['Naa50' 'Usf3']	0.9559059649682543	0.0012805541187362888	2	87635	0.8072510484621812
chr5	76873659	76951578	-	['Aasdh' 'Ppat']	0.8357686779985178	0.001128299205794672	2	77919	0.7996929546906347
chr19	10182888	10207824	+	['Tmem258' 'Fads1' 'Gm10143']	0.9098667436399124	0.0014553434632370889	3	24936	0.7975180232328404
chr1	164143432	164152217	-	['Gm16587' 'Gm16548']	0.8481396309211067	0.0021046090450432837	2	8785	0.7951358505961107
chr10	127660918	127676724	-	['Nab2' 'Gm16230']	0.7555291886301958	0.0012488090506595998	2	15806	0.7890124616398249
chr1	178319130	178341470	+	['Cox20' 'Gm38300']	0.8129682992810956	0.0011872486098405501	2	22340	0.7880440106927806
chr2	12924041	13014236	+	['Gm37811' 'Gm37356' 'Pter' 'Gm37824']	0.9170643163855428	0.007605053824689759	4	90195	0.7876768436351251
chr16	20702964	20734511	-	['Clcn2' 'Thpo']	0.9122685371228677	0.0011653669273558815	2	31547	0.7774081210138395
chr11	106377656	106613423	-	['Icam2' 'Ern1' 'Tex2']	0.8300298371319547	0.0015486850729265235	3	235767	0.7724999123343229
chr15	58890155	59082005	-	['Tatdn1' 'Mtss1']	0.8727606228650411	0.0026177353734696076	2	191850	0.7703285252944526
chr17	31608894	31658892	-	['Cbs' 'U2af1']	0.9569509114721875	0.0017844096357911704	2	49998	0.761245528791664
chr13	38592842	38659058	-	['Bloc1s5' 'Eef1e1']	0.8712605286639447	0.0011063431776743263	2	66216	0.7357119281480688
chr3	108256926	108361511	+	['Sort1' 'Gm43099' 'Psma5']	0.7694509135420288	0.004390630331384844	3	104585	0.7289039284247608
chr17	47686646	47694736	-	['Tomm6' 'Prickle4']	0.9589901207290973	0.00144969572406678	2	8090	0.7208204067734179
chr3	85544316	85573945	-	['Gm42812' 'Gm15535']	0.7534909489282378	0.001374103887144572	2	29629	0.7201110785632873
chr9	46268633	46299110	+	['Apoa5' 'Zpr1' 'Bud13']	0.9295781251107026	0.0013139669609595107	3	30477	0.7101335783428914
chr14	30951377	31121592	+	['Nek4' 'Glt8d1' 'Pbrm1']	0.8176353392636471	0.0021803607708274185	3	170215	0.7005686221774374
chr17	34809092	34898265	-	['C4a' 'Stk19' 'Skiv2l' 'Cfb' 'Gm20547' 'C2']	0.84163173178809	0.005907741740968091	6	89173	0.6970470868572292
chr4	138313409	138367992	-	['Cda' 'Pink1']	0.951738277395615	0.0020318965700078595	2	54583	0.6938466576394307
chr10	76545871	76570532	-	['4930483K19Rik' 'Gm15343']	0.8133703923202389	0.0011515635101634193	2	24661	0.6912361198025878
chr8	23171265	23257074	-	['Gpat4' 'Gins4' 'Golga7']	0.8647534651319008	0.0033090014124618986	3	85809	0.6847296017992486
chr18	24602866	24701575	+	['Elp2' 'Mocos']	0.9336928151770657	0.0012363874154217671	2	98709	0.6589192846629761
chr15	10177238	10410153	+	['Prlr' 'Agxt2']	0.7981031651831662	0.003916230246543178	2	232915	0.6577297986322583
chr10	121488986	121526101	+	['Gm35696' 'Gm40787']	0.8397634442302744	0.003288441766659787	2	37115	0.6552206651915162
chr7	120842831	120947432	+	['Polr3e' 'Eef2k']	0.8422889973747664	0.0010624367892024464	2	104601	0.6540832929449322
chr11	101552149	101591788	+	['Nbr1' 'Tmem106a']	0.99607749356047	0.0014465019901481538	2	39639	0.6539414545261591
chr16	22805203	22894386	-	['Tbccd1' 'Gm30505' 'Crygs']	0.7792485941769884	0.0011530882039314167	3	89183	0.6531937531831884
chr11	100766032	100850724	-	['Ghdc' 'Stat5b']	0.9127326332026624	0.001757096677868578	2	84692	0.6514629074202063
